,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue Name,Venue Latitude,Venue Longitude,Venue Category,Level I,Level II,Level III,Level IV
1988,Upper East Side,40.77563857,-73.96050763,Bottle & Soul,40.77651844515788,-73.95777813061173,Wine Shop,Shop & Service,Food & Drink Shop,Wine Shop,Wine Shop
1989,Upper East Side,40.77563857,-73.96050763,McCabes Wine & Spirits,40.772902454046175,-73.95833836637416,Wine Shop,Shop & Service,Food & Drink Shop,Wine Shop,Wine Shop
1990,Upper East Side,40.77563857,-73.96050763,Vintage Grape,40.77729834470589,-73.95511392274206,Wine Shop,Shop & Service,Food & Drink Shop,Wine Shop,Wine Shop
1991,Yorkville,40.77592985,-73.94711784,Yorkshire Wines & Spirits,40.77631904848835,-73.94978617862375,Wine Shop,Shop & Service,Food & Drink Shop,Wine Shop,Wine Shop
1992,Yorkville,40.77592985,-73.94711784,Le Grand Triage: Wine & Whiskey,40.77719834649793,-73.94916678009996,Wine Shop,Shop & Service,Food & Drink Shop,Wine Shop,Wine Shop
1993,Yorkville,40.77592985,-73.94711784,Eastside Cellars,40.779651252124225,-73.94742455350139,Wine Shop,Shop & Service,Food & Drink Shop,Wine Shop,Wine Shop
1994,Lenox Hill,40.76811266,-73.95885969,Dr. Wine,40.76607112688013,-73.95711924412987,Wine Shop,Shop & Service,Food & Drink Shop,Wine Shop,Wine Shop
1995,Upper West Side,40.787658,-73.97705924,West Side Wine,40.784563399999996,-73.97336349999998,Wine Shop,Shop & Service,Food & Drink Shop,Wine Shop,Wine Shop
1996,Lincoln Square,40.77352889,-73.98533777,67 Wine & Spirits,40.77477471626754,-73.98082884782761,Wine Shop,Shop & Service,Food & Drink Shop,Wine Shop,Wine Shop
1997,Lincoln Square,40.77352889,-73.98533777,Renaissance Fine Wines & Spirits,40.77729334474881,-73.9880656744655,Wine Shop,Shop & Service,Food & Drink Shop,Wine Shop,Wine Shop
1998,Lincoln Square,40.77352889,-73.98533777,Bin 70 Wine,40.777901063846436,-73.98590152632777,Wine Shop,Shop & Service,Food & Drink Shop,Wine Shop,Wine Shop
1999,Clinton,40.75910089,-73.99611936,Grand Cru Wine & Spirits,40.76141099997067,-73.99771927038316,Wine Shop,Shop & Service,Food & Drink Shop,Wine Shop,Wine Shop
2000,Clinton,40.75910089,-73.99611936,Grace Wine & Spirits,40.760744219572075,-73.99440318346024,Wine Shop,Shop & Service,Food & Drink Shop,Wine Shop,Wine Shop
2001,Clinton,40.75910089,-73.99611936,Veritas Studio Wines,40.76216482709867,-73.99562415236564,Wine Shop,Shop & Service,Food & Drink Shop,Wine Shop,Wine Shop
2002,Clinton,40.75910089,-73.99611936,Odyssey Wine & Spirits,40.75691333878635,-73.99756465578261,Wine Shop,Shop & Service,Food & Drink Shop,Wine Shop,Wine Shop
2003,Murray Hill,40.74830308,-73.97833208,Windsor Wine Shop,40.74469648265328,-73.97884703979112,Wine Shop,Shop & Service,Food & Drink Shop,Wine Shop,Wine Shop
2004,Chelsea,40.74403471,-74.00311633,London Terrace Wines & Spirits,40.74673492163325,-74.00098691016841,Wine Shop,Shop & Service,Food & Drink Shop,Wine Shop,Wine Shop
2005,East Village,40.72784678,-73.98222617,convive,40.729187855790855,-73.98125624082842,Wine Shop,Shop & Service,Food & Drink Shop,Wine Shop,Wine Shop
2006,Tribeca,40.72152197,-74.01068329,Verve Wine,40.721414930727605,-74.01011697942397,Wine Shop,Shop & Service,Food & Drink Shop,Wine Shop,Wine Shop
2007,Little Italy,40.71932379,-73.99730467,Wine Therapy,40.72093872820722,-73.99490063730431,Wine Shop,Shop & Service,Food & Drink Shop,Wine Shop,Wine Shop
2008,Manhattan Valley,40.79730704,-73.96428618,Whole Foods Wine Store,40.7942853322929,-73.96655816729033,Wine Shop,Shop & Service,Food & Drink Shop,Wine Shop,Wine Shop
2009,Gramercy,40.73720983,-73.98137595,Rouge & Blanc,40.73460749188154,-73.98011071425292,Wine Shop,Shop & Service,Food & Drink Shop,Wine Shop,Wine Shop
2010,Gramercy,40.73720983,-73.98137595,Wine Heaven,40.73987594241894,-73.98246812491061,Wine Shop,Shop & Service,Food & Drink Shop,Wine Shop,Wine Shop
